check,passed
8103/lineage/separate_utility,True
8103/evolved/same_public_data,True
8103/evolved/final_absent_from_rollout,True
8103/evolved/disjoint_rows,True
8103/evolved/fixed_sizes,True
8103/evolved/tree_identity,True
8103/evolved/selected_by_selection,True
8103/evolved/candidate_identity,True
8103/evolved/actual_attempts,True
8103/evolved/charged_time,True
8103/evolved/actual_failures,True
8103/evolved/online_checks,True
8103/evolved/refit_succeeded,True
8103/evolved/separate_refit_charge,True
8103/evolved/final_row_ids,True
8103/evolved/final_targets,True
8103/evolved/finite_predictions,True
8103/evolved/final_metric,True
8103/evolved/normalized_loss,True
8103/evolved/separate_utility,True
8103/broad-stop/same_public_data,True
8103/broad-stop/final_absent_from_rollout,True
8103/broad-stop/disjoint_rows,True
8103/broad-stop/fixed_sizes,True
8103/broad-stop/tree_identity,True
8103/broad-stop/selected_by_selection,True
8103/broad-stop/candidate_identity,True
8103/broad-stop/actual_attempts,True
8103/broad-stop/charged_time,True
8103/broad-stop/actual_failures,True
8103/broad-stop/online_checks,True
8103/broad-stop/refit_succeeded,True
8103/broad-stop/separate_refit_charge,True
8103/broad-stop/final_row_ids,True
8103/broad-stop/final_targets,True
8103/broad-stop/finite_predictions,True
8103/broad-stop/final_metric,True
8103/broad-stop/normalized_loss,True
8103/broad-stop/separate_utility,True
8103/broad/same_public_data,True
8103/broad/final_absent_from_rollout,True
8103/broad/disjoint_rows,True
8103/broad/fixed_sizes,True
8103/broad/tree_identity,True
8103/broad/selected_by_selection,True
8103/broad/candidate_identity,True
8103/broad/actual_attempts,True
8103/broad/charged_time,True
8103/broad/actual_failures,True
8103/broad/online_checks,True
8103/broad/refit_succeeded,True
8103/broad/separate_refit_charge,True
8103/broad/final_row_ids,True
8103/broad/final_targets,True
8103/broad/finite_predictions,True
8103/broad/final_metric,True
8103/broad/normalized_loss,True
8103/broad/separate_utility,True
8103/greedy/same_public_data,True
8103/greedy/final_absent_from_rollout,True
8103/greedy/disjoint_rows,True
8103/greedy/fixed_sizes,True
8103/greedy/tree_identity,True
8103/greedy/selected_by_selection,True
8103/greedy/candidate_identity,True
8103/greedy/actual_attempts,True
8103/greedy/charged_time,True
8103/greedy/actual_failures,True
8103/greedy/online_checks,True
8103/greedy/refit_succeeded,True
8103/greedy/separate_refit_charge,True
8103/greedy/final_row_ids,True
8103/greedy/final_targets,True
8103/greedy/finite_predictions,True
8103/greedy/final_metric,True
8103/greedy/normalized_loss,True
8103/greedy/separate_utility,True
8104/evolved/same_public_data,True
8104/evolved/final_absent_from_rollout,True
8104/evolved/disjoint_rows,True
8104/evolved/fixed_sizes,True
8104/evolved/tree_identity,True
8104/evolved/selected_by_selection,True
8104/evolved/candidate_identity,True
8104/evolved/actual_attempts,True
8104/evolved/charged_time,True
8104/evolved/actual_failures,True
8104/evolved/online_checks,True
8104/evolved/refit_succeeded,True
8104/evolved/separate_refit_charge,True
8104/evolved/final_row_ids,True
8104/evolved/final_targets,True
8104/evolved/finite_predictions,True
8104/evolved/final_metric,True
8104/evolved/normalized_loss,True
8104/evolved/separate_utility,True
8104/broad-stop/same_public_data,True
8104/broad-stop/final_absent_from_rollout,True
8104/broad-stop/disjoint_rows,True
8104/broad-stop/fixed_sizes,True
8104/broad-stop/tree_identity,True
8104/broad-stop/selected_by_selection,True
8104/broad-stop/candidate_identity,True
8104/broad-stop/actual_attempts,True
8104/broad-stop/charged_time,True
8104/broad-stop/actual_failures,True
8104/broad-stop/online_checks,True
8104/broad-stop/refit_succeeded,True
