board,player,action,value
....X.O..,X,2,-0.160823808
....X.O..,X,3,-0.02624097344195102
....X.O..,X,5,-0.07954711252315405
....X.O..,X,7,-0.03999999999999998
....X.O..,X,8,0.8059155137524401
....X.O.X,O,0,-0.36000000000000004
....X.O.X,O,1,-0.41632
....X.O.X,O,2,-0.36000000000000004
....X.O.X,O,3,-0.488
....X.O.X,O,5,-0.488
....X.O.X,O,7,-0.36000000000000004
....X.OOX,X,3,0.5904
....X.OX.,O,0,-0.2
....X.OX.,O,1,-0.03999999999999998
....X.OX.,O,2,-0.2
....X.OX.,O,3,-0.03999999999999998
....X.OX.,O,5,-0.2
....X.OX.,O,8,-0.2
....X.OXO,X,2,0.5904
....X.X.O,O,2,0.08800000000000002
....X.X.O,O,3,0.0
....X.X.O,O,5,-0.03999999999999998
....X.X.O,O,7,-0.23199999999999998
....X.XOO,X,1,-0.2
....X.XOO,X,5,0.36000000000000004
....XO...,X,1,0.2
....XO...,X,6,0.36000000000000004
....XO...,X,7,-0.08800000000000002
....XO...,X,8,0.8725951157379667
....XO..X,O,0,-0.4288128
....XO..X,O,1,-0.488
....XO..X,O,2,-0.36000000000000004
....XO..X,O,3,-0.5904
....XO..X,O,6,-0.50848
....XO..X,O,7,-0.488
....XO.OX,X,3,0.507456
....XO.OX,X,6,0.2
....XO.X.,O,2,0.488
....XO.X.,O,6,-0.2
....XO.X.,O,8,-0.1296
....XO.XO,X,0,0.03999999999999998
....XO.XO,X,1,0.5904
....XO.XO,X,2,0.2
....XO.XO,X,3,-0.2
....XO.XO,X,6,-0.16800000000000004
....XOO.X,X,0,0.7902848
....XOO.X,X,1,-0.2
....XOOX.,X,8,0.36000000000000004
....XOOXX,O,0,-0.2
....XOOXX,O,2,-0.2
....XOOXX,O,3,-0.2
....XOX..,O,0,0.16800000000000004
....XOX..,O,1,-0.2
....XOX..,O,2,-0.2
....XOX..,O,3,-0.36000000000000004
....XOX..,O,7,-0.2
....XOX..,O,8,-0.04768000000000003
....XOX.O,X,0,-0.36000000000000004
....XOX.O,X,1,0.33440000000000003
....XOX.O,X,3,-0.2
....XOXO.,X,8,0.2
....XOXOX,O,0,-0.2
....XOXOX,O,1,-0.2
....XOXXO,O,0,-0.03999999999999998
....XOXXO,O,2,0.36000000000000004
....XX..O,O,0,-0.5904
....XX..O,O,1,-0.488
....XX..O,O,2,-0.488
....XX..O,O,3,-0.23199999999999998
....XX..O,O,6,-0.10368
....XX..O,O,7,-0.16387532800000001
....XX.O.,O,0,-0.48185599999999995
....XX.O.,O,1,-0.488
....XX.O.,O,2,-0.488
....XX.O.,O,3,-0.488
....XX.O.,O,6,-0.36000000000000004
....XX.O.,O,8,-0.488
....XX.OO,X,0,-0.2
....XX.OO,X,2,-0.442944
....XX.OO,X,3,0.5904
....XX.OO,X,6,0.2
....XXO..,O,0,-0.30368
....XXO..,O,1,-0.36000000000000004
....XXO..,O,2,-0.2
....XXO..,O,3,-0.2591872
....XXO..,O,7,-0.23937280000000005
....XXO..,O,8,-0.16800000000000004
....XXO.O,X,1,-0.2
....XXO.O,X,2,-0.28800000000000003
....XXO.O,X,3,0.5904
....XXOO.,X,1,-0.2
....XXOO.,X,2,-0.04768000000000003
....XXOO.,X,3,0.488
....XXXOO,O,0,-0.2
....XXXOO,O,1,-0.2
....XXXOO,O,3,-0.2
...O....X,X,0,-0.2
...O....X,X,1,-0.03999999999999998
...O....X,X,4,0.5839218481560761
...O....X,X,5,0.08800000000000002
...O....X,X,6,0.177142272
...O....X,X,7,-0.36000000000000004
...O...X.,X,5,0.46240000000000003
...O...XX,O,0,0.36000000000000004
...O..OXX,X,1,-0.2
...O..X..,X,0,0.0
...O..X..,X,1,-0.2
...O..X..,X,2,-0.07342634718212432
...O..X..,X,4,0.7698605801708929
...O..X..,X,5,-0.007802982400000047
...O..X..,X,7,-0.09771018240000001
...O..X..,X,8,-6.399999999995298e-05
...O..X.X,O,0,-0.16
...O..X.X,O,1,-0.36000000000000004
...O..X.X,O,2,-0.2
...O..X.X,O,4,-0.2
...O..X.X,O,5,0.04515584
...O..X.X,O,7,-0.2
...O..XOX,X,0,-0.2
...O..XOX,X,5,0.36000000000000004
...O..XX.,O,0,-0.2
...O..XX.,O,1,-0.36000000000000004
...O..XX.,O,2,-0.2
...O..XX.,O,4,-0.2
...O..XX.,O,5,0.3856
...O..XX.,O,8,0.0
...O..XXO,X,1,0.0
...O.O.XX,X,1,0.2
...O.OX.X,X,0,-0.488
...O.OX.X,X,1,-0.04768000000000003
...O.OX.X,X,4,0.36000000000000004
...O.OXX.,X,0,-0.2
...O.OXX.,X,1,-0.03999999999999998
...O.OXX.,X,4,-0.2
...O.X...,X,1,-0.2
...O.X...,X,2,0.16800000000000004
...O.X...,X,4,0.36000000000000004
...O.X..X,O,0,0.2
...O.X..X,O,1,-0.2
...O.X..X,O,7,-0.2
...O.X.OX,X,0,0.36000000000000004
...O.X.X.,O,2,-0.2
...O.X.X.,O,6,-0.2
...O.X.X.,O,8,-0.2
...O.X.XO,X,1,0.2
...O.XO.X,X,0,0.2
...O.XOX.,X,2,0.2
...O.XOX.,X,4,0.0
...O.XX..,O,0,-0.2
...O.XX..,O,1,-0.2
...O.XX..,O,2,-0.36000000000000004
...O.XX..,O,4,0.36000000000000004
...O.XX..,O,7,-0.2
...O.XX..,O,8,-0.2
...O.XX.O,X,0,0.0
...O.XX.O,X,2,0.36000000000000004
...O.XX.O,X,7,-0.2
...O.XXO.,X,4,0.36000000000000004
...O.XXOX,O,0,-0.2
...O.XXOX,O,4,-0.2
...O.XXXO,O,0,0.2
...OO.X.X,X,0,-0.2
...OO.X.X,X,1,0.0
...OO.X.X,X,5,0.46240000000000003
...OO.XX.,X,5,0.2
...OOX..X,X,2,0.36000000000000004
...OOX.X.,X,6,0.0
...OOXX..,X,0,-0.2
...OOXX..,X,1,-0.2
...OOXX..,X,7,0.2
...OOXX..,X,8,-0.2
...OOXX.X,O,0,-0.2
...OOXX.X,O,1,-0.03999999999999998
...OOXX.X,O,2,-0.2
...OOXXOX,X,2,0.5904
...OOXXX.,O,0,-0.2
...OOXXX.,O,2,-0.2
...OOXXX.,O,8,0.0
...OOXXXO,X,0,0.0
...OX....,X,0,0.27040000000000003
...OX....,X,1,0.014710271999999913
...OX....,X,2,-0.2576
...OX....,X,5,-0.2
...OX....,X,7,-0.2
...OX....,X,8,0.662043006984157
...OX...X,O,0,-0.5904
...OX...X,O,1,-0.7902848
...OX...X,O,2,-0.5113483532472052
...OX...X,O,5,-0.7378560000000001
...OX...X,O,6,-0.46244353635123203
...OX...X,O,7,-0.67232
...OX..OX,X,0,0.36000000000000004
...OX..OX,X,2,0.36000000000000004
...OX..OX,X,6,0.488
...OX..X.,O,0,0.2
...OX..X.,O,6,0.0
...OX..XO,X,0,0.0
...OX..XO,X,1,0.488
...OX.O.X,X,0,0.8926258176
...OX.O.X,X,1,-0.03999999999999998
...OX.O.X,X,2,-0.03999999999999998
...OX.O.X,X,5,-0.36000000000000004
...OX.O.X,X,7,0.03999999999999998
...OX.OX.,X,0,0.0
...OX.OX.,X,1,0.2
...OX.OX.,X,2,-0.2
...OX.OXX,O,2,-0.03999999999999998
...OX.X..,O,0,-0.488
...OX.X..,O,1,-0.28800000000000003
...OX.X..,O,2,-0.4519552
...OX.X..,O,5,-0.488
...OX.X..,O,7,-0.488
...OX.X..,O,8,-0.36000000000000004
...OX.X.O,X,1,0.36000000000000004
...OX.XO.,X,2,0.488
...OX.XOX,O,0,-0.2
...OX.XOX,O,1,-0.2
...OX.XOX,O,5,-0.2
...OXO..X,X,0,0.8926258176
...OXOOXX,X,0,0.2
...OXOX..,X,0,0.2
...OXOX..,X,2,0.2
...OXOX..,X,8,0.488
...OXOX.X,O,0,-0.2
...OXOX.X,O,1,-0.2
...OXOX.X,O,2,-0.2
...OXOX.X,O,7,-0.36000000000000004
...OXOXOX,X,0,0.488
...OXOXX.,O,8,0.2
...OXOXXO,X,0,-0.2
...OXX...,O,0,-0.03999999999999998
...OXX...,O,8,-0.2
...OXX..O,X,0,0.0
...OXX..O,X,1,0.16800000000000004
...OXX..O,X,2,0.2
...OXX.O.,X,2,0.2
...OXX.O.,X,6,0.2
...OXX.O.,X,8,0.2
...OXX.OX,O,1,-0.2
...OXXO..,X,0,0.328
...OXXO..,X,1,-0.2
...OXXO..,X,2,-0.03999999999999998
...OXXO..,X,7,0.0
...OXXO.X,O,0,0.2
...OXXO.X,O,2,0.2
...OXXOX.,O,8,0.0
...OXXOXO,X,0,0.0
...OXXOXO,X,2,0.0
...OXXXO.,O,0,-0.2
...OXXXO.,O,1,-0.2
...OXXXO.,O,8,-0.2
...OXXXOO,X,2,0.36000000000000004
...X.....,O,0,-0.5295021666484176
...X.....,O,1,-0.6854272
...X.....,O,2,-0.5302734755524293
...X.....,O,4,-0.488
...X.....,O,5,-0.5904
...X.....,O,6,0.3569960882283885
...X.....,O,7,-0.4297616966614177
...X.....,O,8,-0.45342976
...X....O,X,0,0.5904
...X....O,X,2,-0.03999999999999998
...X....O,X,6,-0.2
...X....O,X,7,-0.2
...X...O.,X,0,0.03999999999999998
...X...O.,X,1,-0.18118461439999997
...X...O.,X,2,-0.07199999999999998
...X...O.,X,4,-0.06559999999999999
...X...O.,X,5,-0.36000000000000004
...X...O.,X,6,0.35745024000000003
...X...O.,X,8,-0.09248
...X...OX,O,2,-0.03999999999999998
...X...OX,O,4,0.2
...X...OX,O,6,-0.2
...X...XO,O,1,0.36000000000000004
...X..O..,X,0,-0.2
...X..O..,X,1,-0.22876416000000002
...X..O..,X,2,-0.36000000000000004
...X..O..,X,4,-0.2
...X..O..,X,5,-0.23814400000000002
...X..O..,X,7,-0.15008
...X..O..,X,8,-0.05247999999999999
...X..O.X,O,0,0.0
...X..O.X,O,4,-0.03999999999999998
...X..O.X,O,5,0.16
...X..O.X,O,7,-0.2
...X..OOX,X,1,0.2
...X..OOX,X,4,0.2
...X..OX.,O,0,0.0
...X..OX.,O,2,-0.03999999999999998
...X..OX.,O,4,0.488
...X..OX.,O,8,-0.2
...X..OXO,X,2,0.2
...X..X.O,O,0,0.34653530112
...X..X.O,O,1,-0.488
...X..X.O,O,2,-0.23199999999999998
...X..X.O,O,4,-0.36000000000000004
...X..X.O,O,5,-0.29896140800000004
...X..X.O,O,7,-0.33440000000000003
...X..XO.,O,0,0.0
...X..XO.,O,2,-0.2
...X..XO.,O,4,-0.314944
...X..XO.,O,8,-0.2
